วันนี้โคตรเฟล ทำอะไรก็ผิดไปหมด | neg
น้ำหนักลดลงไป 2 โล ดีใจ | pos
ได้กินแกงไตปลาฝีมือแม่ หรอยแรง | pos
รู้สึกสวยวันสวยคืน มั่นใจ | pos
แสงแดดตอนเช้าส่องหน้าต่าง สดชื่น | pos
จับฉลากได้เงินสด โชคดีสุดๆ | pos
ฟังเพลงรักแล้วเขิน ยิ้มคนเดียว | pos
แมวเดินมาอ้อนขอกินอาหาร | pos
ปิดโปรเจกต์ใหญ่สำเร็จ ภูมิใจในทีม | pos
มื้อเย็นกินสเต็ก อร่อย | pos
เจอเสื้อตัวโปรดที่หาไม่เจอตั้งนาน | pos
หน้าใสไร้สิว ผิวดีขึ้น | pos
ทำยำวุ้นเส้นกินเอง อร่อยแซ่บ | pos
ทำไมอาจารย์ต้องนัดสอนชดเชยวันเสาร์ด้วย เบื่อ | neg
เกลียดรูมเมทที่ชอบพาแฟนมานอนที่ห้อง อึดอัด | neg
รู้สึกเหมือนสมองตัน คิดงานไม่ออกเลย | neg
รถเมล์ขับกระชากจนหัวโขกราวเหล็ก เจ็บ | neg
งานกลุ่มแต่ทำคนเดียว เพื่อนกินแรง | neg
น้อยใจพ่อ ไม่เคยชมเราเลย | neg
รู้สึกตัวเองภาษาอังกฤษห่วยแตก อายฝรั่ง | neg
เงินหมดต้องกินมาม่าประทังชีวิต | neg
รู้สึกเหงาเวลาเห็นเพื่อนไปเที่ยวกับแฟน | neg
นอนไม่หลับ กังวลเรื่องพรีเซนต์พรุ่งนี้ | neg
โดนขโมยเสื้อผ้าที่ตากไว้ เลวมาก | neg
รู้สึกหมดไฟ อยากซิ่วไปเรียนอย่างอื่น | neg
เจ็บใจที่ซื้อของมาแล้วพังตั้งแต่วันแรก | neg
รู้สึกแย่ที่นินทาเพื่อน แล้วเพื่อนรู้ | neg
ส่งงานผิดไฟล์ อาจารย์ด่า | neg
อิจฉาเพื่อนที่บ้านรวยจัง | neg
เน็ตหอกากมาก หมุนติ้วๆ หัวร้อน | neg
เบื่อพวกชอบยืมเงินแล้วไม่คืน หน้าด้าน | neg
โดนแซะเรื่องสีผิว ไม่ขาวแล้วผิดเหรอ | neg
รู้สึกเหนื่อยกับการตื่นเช้าไปเรียน | neg
โดนเทนัดทำงานกลุ่ม เซ็งเป็ด | neg
เงินค่าขนมหมดแล้ว ขอแม่เพิ่มดีไหม | neg
กังวลเรื่องฝึกงาน กลัวไม่มีที่รับ | neg
เบื่ออากาศเมืองไทย ร้อนจนจักแร้เปียก | neg
โดนหลอกขายคอร์สเรียนพิเศษ แพงหูฉี่ | neg
รู้สึกหมดแพชชั่น อยากดรอปเรียน | neg
ทะเลาะกับแม่เรื่องกลับดึก | neg
อยากวาร์ปไปนอนดูการ์ตูนที่บ้าน | neg
เดินไปกินข้าวโรงอาหารคณะ | neu
นั่งรอเรียนคาบเช้า อาจารย์เข้าสาย | neu
สั่งข้าวไข่เจียวหมูสับกินง่ายๆ | neu
เห็นแมวคณะนอนหลับบนโต๊ะม้าหิน | neu
วันนี้ลมพัดเย็นสบายใต้ตึก | neu
กดเงินสดออกมาจ่ายค่าชีท | neu
แม่ไลน์มาถามว่าเลิกเรียนกี่โมง | neu
เปลี่ยนไส้ปากกาที่หมด | neu
นั่งมองรุ่นน้องซ้อมเชียร์ | neu
เลิกเรียนแล้ว เดินไปหน้ามอ | neu
นั่งปั่นงานส่งอาจารย์คืนนี้ | neu
ดูนาฬิกา ตีสองแล้วยังไม่นอน | neu
นั่งแกะถุงเลย์กิน | neu
วันนี้รถตู้คนเต็ม ต้องรอคันหน้า | neu
ชาร์จแบตมือถือ | neu
ตื่นมาต้มมาม่ากินตอนเช้า | neu
เดินไปรับพัสดุใต้หอ | neu
นั่งรอเครื่องซักผ้าว่าง | neu
ถึงห้องสมุดแล้ว แอร์เย็นเฉียบ | neu
นั่งหาข้อมูลทำรายงาน | neu
เห็นนกพิราบจิกกินเศษขนม | neu
วันนี้เหงื่อไม่ออกเลย แอร์เย็น | neu
ไรเดอร์โทรมาบอกว่าถึงแล้ว | neu
เก็บเสื้อผ้าที่ตากไว้เข้าตู้ | neu
เปลี่ยนผ้าปูที่นอนลายใหม่ | neu
นั่งมองวิวจากระเบียงหอ | neu
วันนี้เลิกเรียนเร็ว ดีใจ | pos
ได้กินบิงซูร้านโปรด อร่อย | pos
เกรดออกแล้ว ได้ A วิชาเสรี | pos
น้ำหนักลดลง ใส่กางเกงสวย | pos
ได้กินหมูกระทะกับเดอะแก๊ง ฟิน | pos
งานกลุ่มเสร็จแล้ว โล่งอก | pos
รู้สึกมั่นใจในตัวเอง | pos
ดูหนังจบแล้วแฮปปี้ | pos
จับฉลากได้ตุ๊กตาตัวใหญ่ | pos
แมวมานอนตัก อ้อนเก่ง | pos
ปิดจ็อบรายงานเล่มหนาสำเร็จ | pos
ได้วิดีโอคอลคุยกับที่บ้าน | pos
ตัดผมทรงใหม่ เพื่อนชมว่าน่ารัก | pos
เจอหนังสือหายากที่ร้านมือสอง | pos
รถรางมาพอดี ไม่ต้องเดิน | pos
แฟนบอกฝันดีนะ เขิน | pos
ทำมาม่าเกาหลีกินเอง อร่อย | pos
ทำข้อสอบได้ทุกข้อ มั่นใจมาก | pos
ป้าขายผลไม้แถมฝรั่งให้ ใจดี | pos
เจอเงินในกระเป๋ากางเกง ลาภลอย | pos
เพื่อนเลี้ยงชาไข่มุก ประหยัดไปอีกมื้อ | pos
เน็ตแรง โหลดหนังอย่างไว | pos
อาจารย์เลื่อนสอบ ดีใจน้ำตาไหล | pos
ได้เกรด 4.00 เทอมนี้ กรี๊ด | pos
พ่อโอนเงินมาให้เกินที่ขอ รักพ่อ | pos
เจอพี่รหัสเลี้ยงข้าว อิ่มจัง | pos
ทำไมร้านอาหารที่ชอบต้องปิดวันจันทร์ด้วย เซ็ง | neg
โดนไรเดอร์ยกเลิกออเดอร์ตอนหิว โมโหมาก | neg
รถติดในห้างวนหาที่จอดเป็นชั่วโมง | neg
เงินหมดบัญชี ต้องแคะกระปุกกิน | neg
โดนแม่บ่นเรื่องเล่นมือถือดึก | neg
รู้สึกเหงาเวลาฝนตก บรรยากาศพาไป | neg
โดนขโมยซีนในที่ประชุม หน้าด้านมาก | neg
เกลียดการรอคอยอะไรนานๆ | neg
รู้สึกหมดไฟในการใช้ชีวิต ช่วงนี้ดิ่ง | neg
ทะเลาะกับแฟนเรื่องกินอะไรดี น่าเบื่อ | neg
เจ็บใจที่ซื้อของมาแล้วไม่ได้ใช้ | neg
รู้สึกแย่ที่พูดจาทำร้ายจิตใจคนอื่น | neg
ทำอาหารไหม้ กินไม่ได้เลย | neg
อิจฉาคนที่เขามีคู่ น่ารักจัง | neg
รู้สึกว่างเปล่า ชีวิตขาดสีสัน | neg
เบื่อพวกชอบแซงคิว ไร้มารยาท | neg
โดนแซะเรื่องอ้วน ไม่ชอบเลย | neg
นั่งตอบแชทลูกค้าเรื่องราคา | neu
กวาดเศษขยะในห้องทิ้ง | neu
กินยาวิตามินซีหนึ่งเม็ด | neu
นั่งจดบันทึกประจำวัน | neu
ดูนาฬิกา ห้าทุ่มแล้ว | neu
ปิดไฟนอนแล้ว | neu
หัวหน้าให้เลิกงานเร็ว | pos
สอบผ่านคะแนนดี โล่งอก | pos
ปิดจ็อบงานสำเร็จ | pos
มื้อเย็นกินอิ่มจนจุก | pos
เบื่อเพื่อนร่วมงานที่ชอบโยนภาระ เห็นแก่ตัว | neg
โดนแซงคิวซื้อตั๋วหนัง โมโหมาก | neg
งานเร่งงานด่วนมาตอนจะกลับบ้าน ประสาทแดก | neg
น้อยใจแฟน ทักไปอ่านไม่ตอบ | neg
โดนหัวหน้าตำหนิต่อหน้าเพื่อนร่วมงาน อาย | neg
รู้สึกเหงาแปลกๆ เวลาฝนตก | neg
เกลียดการโดนบังคับใจที่สุด | neg
รู้สึกหมดไฟในการเรียน อยากซิ่ว | neg
ทะเลาะกับพี่เรื่องแย่งรีโมททีวี | neg
รู้สึกว่างเปล่า ชีวิตไม่มีเป้าหมาย | neg
โดนกดดันจากที่บ้านเรื่องเกรด | neg
เบื่อพวกชอบอวดรวยในโซเชียล | neg
รู้สึกเหมือนเป็นอากาศธาตุ ไม่มีใครสนใจ | neg
กังวลเรื่องผลสอบ จะผ่านไหม | neg
เบื่ออากาศร้อน เหงื่อไหลไคลย้อย | neg
ร้องไห้จนตาบวมเป่ง | neg
รู้สึกเหนื่อยใจกับคนรอบข้าง | neg
รู้สึกเหงาเหมือนอยู่ตัวคนเดียว | neg
รู้สึกหมดไฟ ไม่อยากไปทำงาน | neg
นั่งเช็กอีเมลลูกค้า | neu
ปิดไฟหัวเตียง | neu
นั่งจดเลคเชอร์ | neu
รถขายผลไม้ผ่านมา | neu
นั่งดูรายการทีวี | neu
วันนี้กินน้ำน้อย | neu
เปลี่ยนหลอดไฟ | neu
นั่งมองคนเดินผ่าน | neu
วันนี้เพื่อนเงียบๆ | neu
สวดมนต์ก่อนนอน | neu
กดบัตรคอนได้แล้ว | pos
งานเสร็จไว | pos
รู้สึกรักตัวเอง | pos
แสงสวย ถ่ายรูปขึ้น | pos
ฟังเพลงเพราะๆ | pos
หมาวิ่งมารับ | pos
ปิดโปรเจกต์สำเร็จ | pos
ได้กินเค้กอร่อย | pos
ถูกหวยกินแบ่ง ขำๆ | pos
แฟนซื้อขนมฝาก | pos
แกงส้มฝีมือแม่ | pos
ดูหนังแล้วยิ้ม | pos
จับฉลากได้ของ | pos
รู้สึกแข็งแรงขึ้น | pos
ฟังเพลงเก่าๆ | pos
เจอของลดราคา | pos
แมวมานวดขา | pos
ชีวิตเรียบง่ายมีความสุข | pos
วิดีโอคอลหาพ่อแม่ | pos
เบื่อเพื่อนร่วมกลุ่มที่ไม่ช่วยอะไรเลย กินแรง | neg
น้อยใจพ่อแม่ที่กดดันเรื่องเกรด | neg
อยากหนีไปนอนโง่ๆ ที่ไหนก็ได้ | neg
ปวดตามาก จ้องคอมทำรายงานทั้งคืน | neg
นอนไม่หลับ กังวลเรื่องอนาคต | neg
โดนขโมยชีทสรุปไปถ่ายเอกสารแล้วไม่คืน | neg
ทะเลาะกับรูมเมทเรื่องความสะอาด | neg
รู้สึกแย่ที่ลืมส่งงานตามกำหนด | neg
โดนกดดันจากญาติเรื่องเรียนต่อ | neg
โดนเทนัดติวหนังสือ เซ็งมาก | neg
กังวลเรื่องเกรดเฉลี่ย กลัวโดนไทร์ | neg
เบื่ออากาศร้อนในห้องเรียน แอร์ไม่เย็น | neg
รู้สึกหมดแพชชั่นในการเรียน | neg
นั่งรอเรียนหน้าห้อง | neu
สั่งน้ำปั่นมากินแก้วใหญ่ | neu
รถรางมหาลัยคนเต็มตลอด | neu
ใส่รองเท้าแตะลงไปซื้อของ | neu
นั่งแกะถุงเลย์กินคนเดียว | neu
ถึงตึกเรียนรวมแล้ว | neu
นั่งอ่านการ์ตูนในเว็บ | neu
เก็บเสื้อผ้าเข้าตู้ | neu
กดบัตรคอนเสิร์ตได้แล้ว | pos
ตัดผมทรงใหม่ เพื่อนชม | pos
เจอหนังสือหายาก | pos
อาจารย์ยกเลิกคลาส | pos
รถรางมาพอดี | pos
ป้าขายผลไม้แถมให้ | pos
ทำไมแอปธนาคารต้องล่มตอนจะโอนเงินด้วย หงุดหงิด | neg
เบื่อโฆษณาในยูทูบ เด้งขึ้นมาตลอด | neg
รู้สึกเหมือนจะประสาทกิน คอมค้างตอนยังไม่เซฟ | neg
โดนไรเดอร์ส่งอาหารผิดเจ้า โมโหหิว | neg
น้อยใจเพื่อนที่อ่านไลน์แล้วไม่ตอบ | neg
รู้สึกตัวเองโลว์เทค ตามโลกไม่ทัน | neg
ปวดฟันจี๊ดๆ สงสัยฟันผุ | neg
เงินในวอลเล็ตหมดเกลี้ยง ลืมเติม | neg
โดนคอลเซ็นเตอร์โทรมากวนแต่เช้า | neg
รู้สึกเหงาเวลาเห็นคนอื่นมีคู่ไปกินข้าว | neg
โดนขโมยรหัสเฟซบุ๊ก ต้องรีบกู้คืน | neg
เกลียดการรอคอยพัสดุที่มาส่งช้า | neg
เฟล สั่งเสื้อผ้ามาแล้วใส่ไม่ได้ | neg
อิจฉาคนที่เขากินเท่าไหร่ก็ไม่อ้วน | neg
เน็ตบ้านหลุดบ่อยมาก แจ้งซ่อมไปก็เงียบ | neg
โดนกดดันให้รีบแต่งงานจากป้าข้างบ้าน | neg
โดนเทนัดดูหนัง เสียเวลาแต่งตัว | neg
เงินเดือนออกช้า หมุนไม่ทันแล้ว | neg
สภาพหน้าโทรมมาก ใต้ตาดำปิ๊ด | neg
กังวลเรื่องสัมภาษณ์งานวันพรุ่งนี้ | neg
โดนหลอกให้คลิกลิงก์ดูดเงิน | neg
อยากวาร์ปไปร้านนวด เดี๋ยวนี้เลย | neg
ตื่นมาชาร์จแบตมือถือให้เต็ม | neu
นั่งเช็กโปรโมชั่นมือถือ | neu
สั่งไก่ทอดมากินมื้อเที่ยง | neu
นั่งดูรีวิวเครื่องสำอาง | neu
เห็นหมานอนหลับหน้าร้านสะดวกซื้อ | neu
วันนี้อากาศร้อนต้องพกพัดลมมือถือ | neu
กวาดเศษขยะในรถไปทิ้ง | neu
เปลี่ยนเคสมือถืออันใหม่ | neu
นั่งจดลิสต์ของที่จะซื้อ | neu
ดูนาฬิกา ห้าทุ่มครึ่งแล้ว | neu
ลืมกุญแจรถไว้ในห้อง | neu
ตื่นมาชงโอวัลตินกิน | neu
ถึงตลาดแล้ว คนเยอะมาก | neu
นั่งฟังเพลงในเพลย์ลิสต์ | neu
สั่งผัดไทยกุ้งสดมากิน | neu
ไปรษณีย์มาส่งจดหมาย | neu
ขอบคุณแฟนที่ขับรถมารับ | pos
เจอร้านเค้กอร่อย ราคาไม่แพง | pos
ได้กินแกงส้มฝีมือแม่ อร่อยสุด | pos
ทำอาหารกินเอง อร่อยใช้ได้ | pos
เพื่อนเลี้ยงเหล้า ประหยัดตังค์ | pos
ป้าขายข้าวแถมแกงให้ ใจดี | pos
ทำไมวันนี้ซวยซ้ำซวยซ้อนขนาดนี้เนี่ย | neg
เบื่อพวกชอบแซงคิวหน้าด้านๆ เกลียดมาก | neg
รู้สึกเหมือนหัวจะระเบิด ปวดไมเกรน | neg
วันนี้หน้าพังมาก สิวเห่อรับไม่ได้ | neg
รู้สึกตัวเองด้อยค่า เปรียบเทียบกับคนอื่น | neg
ทะเลาะกับที่บ้านเรื่องกลับดึก เบื่อ | neg
รู้สึกแย่ที่พูดไม่คิดกับเพื่อน | neg
โดนเทนัดกินหมูกระทะ หิวจนตาลาย | neg
รู้สึกหมดแพชชั่น อยากลาออก | neg
ทะเลาะกับแฟนเรื่องเรื่องไม่เป็นเรื่อง | neg
กวาดห้องถูห้องสะอาดเอี่ยม | neu
นั่งมองรถติดไฟแดง | neu
แวะเซเว่นซื้อนมก่อนเข้าห้อง | neu
ได้กินกับข้าวแม่ อร่อยสุด | pos
ทำไมความพยายามของเรามันดูไร้ค่าในสายตาคนอื่นเสมอ | neg
วันนี้เป็นอีกวันที่ไม่อยากลืมตาตื่นมาเจอความจริงเลย | neg
เบื่อที่ต้องปั้นหน้ายิ้ม ทั้งที่ข้างในพังยับเยินไปหมดแล้ว | neg
เสียใจที่รักษาคำสัญญาที่ให้ไว้กับตัวเองไม่ได้อีกแล้ว | neg
ทำไมโลกต้องใจร้ายกับเราซ้ำแล้วซ้ำเล่าขนาดนี้ | neg
เหนื่อยจนอยากจะทิ้งทุกอย่างแล้วหนีไปที่ไหนสักแห่งที่ไม่มีใครรู้จัก | neg
ความผิดพลาดในอดีตยังตามหลอกหลอนจนนอนไม่หลับ | neg
เจ็บจี๊ดที่โดนเปรียบเทียบกับคนอื่นตลอดเวลา | neg
ทำไมคำว่าความสุขมันถึงดูห่างไกลจากเราจัง | neg
เบื่อการรอคอยที่ไม่มีความหมายและไม่มีจุดหมายปลายทาง | neg
รู้สึกผิดหวังในตัวคนคนนั้นจนไม่อยากจะกลับไปคุยอีก | neg
ท้อแท้กับโชคชะตาที่เล่นตลกไม่หยุดหย่อน | neg
รู้สึกเหมือนใช้ชีวิตไปวันๆ โดยที่ไม่มีเป้าหมายอะไรเลย | neg
ความเหงาตอนกลางคืนมันน่ากลัวกว่าที่คิดไว้เยอะเลย | neg
เกลียดตัวเองที่เป็นคนอ่อนไหวกับเรื่องไร้สาระ | neg
รู้สึกใจหายที่เห็นทุกอย่างเปลี่ยนไปตามกาลเวลา | neg
ทำไมเราถึงจัดการอารมณ์ตัวเองได้ห่วยขนาดนี้ | neg
เบื่อที่ต้องมานั่งอธิบายเรื่องเดิมๆ ให้คนที่ไม่อยากฟัง | neg
ผิดหวังที่ความจริงไม่เป็นไปตามที่วาดฝันไว้ | neg
ท้อกับงานที่ทำเท่าไหร่ก็ไม่เคยดีพอสำหรับหัวหน้า | neg
ทำไมชีวิตมันถึงยากขึ้นเรื่อยๆ แบบนี้นะ | neg
ไม่อยากคาดหวังกับอะไรอีกแล้ว เจ็บมาเยอะพอแล้ว | neg
ความทรงจำเก่าๆ ย้อนกลับมาทำร้ายเราอีกครั้ง | neg
รู้สึกเหมือนเดินหลงทางในเขาวงกตที่หาทางออกไม่เจอ | neg
ท้อใจกับปัญหาครอบครัวที่แก้ยังไงก็ไม่จบสักที | neg
ทำไมเราถึงรู้สึกโดดเดี่ยวขนาดนี้ทั้งที่มีคนอยู่รอบข้าง | neg
รู้สึกหมดไฟจนไม่อยากจะขยับตัวทำอะไรเลย | neg
ทำไมโชคชะตาไม่เคยเข้าข้างคนอย่างเราบ้างเลย | neg
เบื่อที่ต้องแบกความคาดหวังของทุกคนไว้บนบ่า | neg
เหนื่อยใจกับความสัมพันธ์ที่ Toxic แบบนี้ | neg
ทำไมชีวิตเราถึงไม่มีอะไรดีขึ้นเลยนะ | neg
เสียดายโอกาสดีๆ ที่หลุดลอยไปเพราะความกลัว | neg
เบื่อที่ต้องมานั่งกังวลเรื่องที่ยังไม่เกิดขึ้น | neg
ความผิดหวังครั้งนี้มันหนักเกินกว่าจะรับไหว | neg
รู้สึกเหมือนตัวเองกำลังหายไปจากโลกนี้ช้าๆ | neg
ทำไมเรื่องง่ายๆ สำหรับคนอื่นมันถึงยากสำหรับเราจัง | neg
เดินไปเปิดหน้าต่างดูวิวถนนตอนเช้า | neu
นั่งดื่มน้ำเปล่าหนึ่งแก้วก่อนเริ่มงาน | neu
วันนี้เลือกใส่เสื้อเชิ้ตสีฟ้ากับกางเกงสแล็ค | neu
ถึงที่ทำงานตอนแปดโมงครึ่งพอดี | neu
นั่งอ่านสรุปการประชุมของเมื่อวาน | neu
อากาศวันนี้มีเมฆมาก แดดไม่แรงเท่าไหร่ | neu
วันนี้ได้รับอีเมลแจ้งเรื่องวันหยุดปีใหม่ | neu
นั่งดูพยากรณ์อากาศในโทรศัพท์ | neu
วันนี้ดื่มกาแฟดำไปหนึ่งแก้วตอนบ่ายโมง | neu
นั่งมองรถที่ติดไฟแดงตรงแยกใกล้หอ | neu
เลิกงานตอนห้าโมงครึ่งตามเวลาปกติ | neu
แวะร้านขายยาซื้อวิตามินซี | neu
นั่งเล่นเกมลับสมองในมือถือสักพัก | neu
นั่งเขียนตารางงานของวันพรุ่งนี้ใส่สมุด | neu
ดูนาฬิกาอีกทีก็เกือบเที่ยงคืนแล้ว | neu
ลืมกุญแจรถไว้บนโต๊ะกินข้าว | neu
วันนี้บนรถเมล์คนไม่แน่นเท่าเมื่อวาน | neu
ไถฟีดโซเชียลดูข่าวสารทั่วไป | neu
ปิดไฟในห้องแล้วเหลือแค่โคมไฟหัวเตียง | neu
ตื่นมาชงน้ำขิงดื่มร้อนๆ | neu
เดินไปขึ้นวินมอเตอร์ไซค์ไปสถานีรถไฟฟ้า | neu
นั่งรอคิวชำระค่าน้ำประปาที่เคาน์เตอร์ | neu
ถึงมหาวิทยาลัยแล้วเข้าเรียนวิชาแรกทันเวลา | neu
สั่งก๋วยเตี๋ยวเส้นเล็กแห้งมากินที่ร้าน | neu
นั่งอ่านนิตยสารเก่าๆ ที่วางอยู่บนโต๊ะ | neu
พนักงานส่งพัสดุโทรมาบอกว่าของมาส่งแล้ว | neu
นั่งดูรายการสารคดีเกี่ยวกับอวกาศ | neu
ถูพื้นห้องจนสะอาดเอี่ยม | neu
เปลี่ยนหลอดไฟในห้องน้ำที่เสีย | neu
นั่งมองเครื่องซักผ้าที่กำลังปั่นผ้า | neu
แต่งตัวออกมาเดินเล่นข้างนอก มีแต่คนทักว่าดูดี | pos
ได้รับคำชมจากหัวหน้าว่าทำงานได้ยอดเยี่ยม | pos
ถูกลอตเตอรี่เลขท้ายสองตัว ดีใจจนเนื้อเต้น | pos
เจอคาเฟ่เปิดใหม่ที่บรรยากาศดีและกาแฟหอมโดนใจ | pos
ภูมิใจในตัวเองที่เก็บเงินซื้อของชิ้นนี้ได้สำเร็จ | pos
สอบผ่านวิชาที่ยากที่สุดในเทอมนี้แล้ว | pos
รู้สึกมีพลังและพร้อมลุยงานชิ้นใหม่ | pos
เสื้อผ้าที่อยากใส่กลับมาใส่ได้พอดีแล้ว | pos
มีคนใจดีช่วยถือของตอนที่ของหนักมาก ขอบคุณนะ | pos
งานเสร็จเร็วกว่ากำหนด มีเวลาไปทำอย่างอื่นเยอะเลย | pos
วันนี้รู้สึกมั่นใจและหลงรักตัวเองมากขึ้น | pos
แสงแดดยามเช้าวันนี้อุ่นกำลังดี สดชื่นสุดๆ | pos
ดูหนังแนวคอมเมดี้จบแล้วหัวเราะจนน้ำตาไหล | pos
จับฉลากได้ของรางวัลใหญ่ในงานเลี้ยงบริษัท | pos
ปิดโปรเจกต์ที่ทำมานานได้สำเร็จลุล่วงด้วยดี | pos
ชีวิตช่วงนี้รู้สึกลงตัวและแฮปปี้มาก | pos
ตัดผมทรงใหม่แล้วรู้สึกหน้าเด็กขึ้นเยอะ | pos
มื้อเย็นวันนี้อิ่มอร่อยและสุขภาพดีสุดๆ | pos
พร้อมจะเข้านอนแล้วคืนนี้ฝันดีแน่นอน | pos
ได้รับเงินปันผลจากหุ้น | pos
อาจารย์งดคลาสเช้า ได้นอนต่อยาวๆ สวรรค์ชัดๆ | pos
เพื่อนซื้อขนมของโปรดมาฝากจากต่างจังหวัด | pos
ขึ้นรถเมล์ปุ๊บรถก็ออกปั๊บ ไม่ต้องรอนาน | pos
คนรักส่งข้อความมาบอกรักก่อนนอน เขินจัง | pos
หัดทำเมนูใหม่แล้วออกมาอร่อยอย่างไม่น่าเชื่อ | pos
ได้นั่งดูพระอาทิตย์ตกริมทะเล สวยจับใจ | pos
พยายามทำดีที่สุดแล้วแต่ดูเหมือนจะยังไม่ดีพอสำหรับใครเลย | neg
บางทีการอยู่คนเดียวเงียบๆ อาจจะดีกว่าการต้องทนอึดอัดกับคนอื่น | neg
เกลียดความรู้สึกที่ต้องรอคอยอะไรที่ไม่มีวันเกิดขึ้นจริง | neg
ความผิดพลาดครั้งนี้มันทำให้ฉันเสียความมั่นใจไปจนหมดสิ้น | neg
รู้สึกเหมือนถูกทิ้งไว้ข้างหลังในขณะที่ทุกคนกำลังเดินไปข้างหน้า | neg
ทำไมชีวิตเราถึงมีแต่เรื่องให้ต้องกังวลไม่รู้จักจบสิ้น | neg
เหนื่อยกับการต้องวิ่งไล่ตามความคาดหวังของสังคม | neg
บางวันก็อยากจะหายตัวไปที่ไหนสักแห่งที่ไม่มีใครหาเจอ | neg
เบื่อการที่ต้องทำตัวเข้มแข็งทั้งที่ข้างในอ่อนแอจะตายอยู่แล้ว | neg
ท้อใจกับร่างกายที่เริ่มประท้วงความเหนื่อยล้าด้วยอาการป่วย | neg
เกลียดตัวเองที่ยังวนเวียนอยู่กับความทรงจำที่เจ็บปวด | neg
รู้สึกว่าเวลา 24 ชั่วโมงมันไม่เคยพอสำหรับสิ่งที่ต้องรับผิดชอบ | neg
ทำไมความสุขถึงผ่านไปเร็ว แต่ความทุกข์กลับอยู่กับเรานานเหลือเกิน | neg
เบื่อที่จะต้องมานั่งอธิบายความรู้สึกให้คนที่ไม่อยากเข้าใจ | neg
ผิดหวังที่เพื่อนร่วมงานโยนความผิดมาให้ทั้งที่เราไม่ได้ทำ | neg
ความมืดตอนกลางคืนมันทำให้ความเศร้าขยายใหญ่ขึ้นกว่าปกติ | neg
เสียดายเวลาที่เสียไปกับการคิดมากเรื่องไร้สาระ | neg
เบื่อความวุ่นวายของเมืองหลวงที่ทำให้อารมณ์เสียได้ทุกวัน | neg
ความคาดหวังมันมักจะมาพร้อมกับความผิดหวังเสมอจริงๆ | neg
ทำไมคนเราถึงต้องใจร้ายใส่กันทั้งที่ไม่ได้โกรธกันมาก่อน | neg
เหนื่อยที่ต้องคอยเอาใจทุกคนจนลืมแคร์ความรู้สึกตัวเอง | neg
รู้สึกเหงาแม้จะอยู่ท่ามกลางผู้คนมากมายในงานปาร์ตี้ | neg
ทำไมโชคชะตาถึงต้องมาทดสอบกันในวันที่หมดแรงขนาดนี้ | neg
ความรู้สึกผิดมันยังฝังรากลึกอยู่ในใจจนไม่กล้าเริ่มต้นใหม่ | neg
รู้สึกเหมือนชีวิตเป็นเส้นตรงที่ไม่มีจุดสิ้นสุดและไม่มีสีสัน | neg
บางทีการเลิกพยายามอาจจะเป็นทางออกที่ดีที่สุดในตอนนี้ | neg
ทำไมเราถึงจัดการกับความล้มเหลวได้แย่ขนาดนี้นะ | neg
ท้อแท้กับการที่ต้องเริ่มใหม่จากศูนย์อีกครั้งในวันที่อายุมากขึ้น | neg
เกลียดวันหยุดที่ต้องมานั่งทำงานงกๆ เพราะทำไม่ทัน | neg
ความทรงจำที่มีแต่รอยยิ้มมันทำให้ตอนนี้เจ็บกว่าเดิมหลายเท่า | neg
รู้สึกเหมือนเดินถอยหลังในขณะที่โลกหมุนไปข้างหน้าอย่างรวดเร็ว | neg
ทำไมคำว่าลาออกมันถึงวนเวียนอยู่ในหัวตลอดเวลาแบบนี้ | neg
วันนี้ตื่นมาหุงข้าวไว้กินตอนเช้าเหมือนปกติ | neu
เดินไปหยิบจดหมายในตู้ไปรษณีย์หน้าบ้านมาวางบนโต๊ะ | neu
นั่งเช็คราคาน้ำมันในแอปพลิเคชันก่อนออกจากบ้าน | neu
เดินเข้าร้านสะดวกซื้อไปหาซื้อนมจืดมาแช่ตู้เย็นไว้ | neu
นั่งต่อคิวรอรับยาที่โรงพยาบาลตามที่หมอนัดตรวจ | neu
อากาศวันนี้มีลมพัดเย็นๆ ตลอดทั้งวัน ไม่ร้อนมาก | neu
เปิดดูปฏิทินเพื่อเช็ควันหยุดยาวในเดือนหน้า | neu
นั่งทำงานในหน้าจอมือถือขณะรอรถเมล์ที่ป้าย | neu
วันนี้เลือกใส่กางเกงยีนส์กับเสื้อยืดสีดำเรียบๆ | neu
กำลังซ่อมแซมทางเดินเท้าหน้าซอย | neu
วันนี้สั่งข้าวผัดปูกินที่โรงอาหารตอนพักเที่ยง | neu
เปิดวิทยุฟังรายการข่าวสารบ้านเมืองไปเรื่อยๆ | neu
นั่งทำความสะอาดเลนส์กล้องที่เริ่มมีฝุ่นเกาะ | neu
วันนี้ไปเดินตลาดนัดเพื่อซื้อผลไม้สดมาทาน | neu
ยืนรอคิวจ่ายค่าไฟที่จุดบริการเคาน์เตอร์เซอร์วิส | neu
เปิดคอมพิวเตอร์เพื่อตรวจสอบไฟล์งานที่ค้างอยู่ | neu
นั่งกินขนมปังปิ้งทาเนยตอนบ่ายสามโมง | neu
วันนี้ได้รับของที่สั่งจากร้านออนไลน์ แพ็คมาดีปกติ | neu
เดินไปคืนหนังสือที่ห้องสมุดตามกำหนดเวลา | neu
นั่งจัดแฟ้มเอกสารสำคัญให้เป็นระเบียบเรียบร้อย | neu
